,street,city,zip,state,beds,baths,sq__ft,sale_date,price,latitude,longitude,type_Condo,type_Multi-Family,type_Residential
174,1121 CREEKSIDE WAY,GALT,95632,CA,3,1,1080,Tue May 20 00:00:00 EDT 2008,106716,38.241514,-121.312199,False,False,True
175,5307 CABRILLO WAY,SACRAMENTO,95820,CA,3,1,1039,Tue May 20 00:00:00 EDT 2008,111000,38.52712,-121.435348,False,False,True
176,3725 DON JULIO BLVD,NORTH HIGHLANDS,95660,CA,3,1,1051,Tue May 20 00:00:00 EDT 2008,111000,38.67895,-121.379406,False,False,True
177,4803 MCCLOUD DR,SACRAMENTO,95842,CA,2,2,967,Tue May 20 00:00:00 EDT 2008,114800,38.682279,-121.352817,False,False,True
178,10542 SILVERWOOD WAY,RANCHO CORDOVA,95670,CA,3,1,1098,Tue May 20 00:00:00 EDT 2008,120108,38.587156,-121.295778,False,False,True
179,6318 39TH AVE,SACRAMENTO,95824,CA,3,1,1050,Tue May 20 00:00:00 EDT 2008,123225,38.518942,-121.430158,False,False,True
180,211 MCDANIEL CIR,SACRAMENTO,95838,CA,3,2,1110,Tue May 20 00:00:00 EDT 2008,123750,38.636565,-121.460383,False,False,True
181,3800 LYNHURST WAY,NORTH HIGHLANDS,95660,CA,3,1,888,Tue May 20 00:00:00 EDT 2008,125000,38.650445,-121.374861,False,False,True
182,6139 HERMOSA ST,SACRAMENTO,95822,CA,3,2,1120,Tue May 20 00:00:00 EDT 2008,125000,38.514665,-121.480411,False,False,True
183,2505 RHINE WAY,ELVERTA,95626,CA,3,2,1080,Tue May 20 00:00:00 EDT 2008,126000,38.717976,-121.407684,False,False,True
184,3692 PAYNE WAY,NORTH HIGHLANDS,95660,CA,3,1,957,Tue May 20 00:00:00 EDT 2008,129000,38.66654,-121.378298,False,False,True
185,604 MORRISON AVE,SACRAMENTO,95838,CA,2,1,952,Tue May 20 00:00:00 EDT 2008,134000,38.637678,-121.452476,False,False,True
186,648 SANTA ANA AVE,SACRAMENTO,95838,CA,3,2,1211,Tue May 20 00:00:00 EDT 2008,135000,38.658478,-121.450409,False,False,True
187,14 ASHLEY OAKS CT,SACRAMENTO,95815,CA,3,2,1264,Tue May 20 00:00:00 EDT 2008,135500,38.61779,-121.436765,False,False,True
188,3174 NORTHVIEW DR,SACRAMENTO,95833,CA,3,1,1080,Tue May 20 00:00:00 EDT 2008,140000,38.623817,-121.477827,False,False,True
189,840 TRANQUIL LN,GALT,95632,CA,3,2,1266,Tue May 20 00:00:00 EDT 2008,140000,38.270617,-121.299205,False,False,True
190,5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,CA,2,2,994,Tue May 20 00:00:00 EDT 2008,142500,38.662785,-121.276272,True,False,False
191,1035 MILLET WAY,SACRAMENTO,95834,CA,3,2,1202,Tue May 20 00:00:00 EDT 2008,143500,38.631056,-121.48508,False,False,True
193,3328 22ND AVE,SACRAMENTO,95820,CA,2,1,722,Tue May 20 00:00:00 EDT 2008,145000,38.532727,-121.470783,False,False,True
194,8001 HARTWICK WAY,SACRAMENTO,95828,CA,4,2,1448,Tue May 20 00:00:00 EDT 2008,145000,38.488623,-121.410582,False,False,True
